bmrb_id,str_path,status,n_points,record_type,out_txt,name,inchi,inchikey,smiles
bmse000072,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000072/bmse000072.str,no_1H_data_found,0,,,"1,5-Diaminopentane",,,
bmse000073,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000073/bmse000073.str,no_1H_data_found,0,,,L-Canavanine,,,
bmse000074,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000074/bmse000074.str,no_1H_data_found,0,,,D-Carnitine,,,
bmse000075,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000075/bmse000075.str,no_1H_data_found,0,,,chorismic acid,,,
bmse000076,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000076/bmse000076.str,no_1H_data_found,0,,,citrate,,,
bmse000077,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000077/bmse000077.str,no_1H_data_found,0,,,coumarin,,,
bmse000078,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000078/bmse000078.str,no_1H_data_found,0,,,creatine,,,
bmse000079,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000079/bmse000079.str,no_1H_data_found,0,,,creatine phosphate,,,
bmse000080,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000080/bmse000080.str,no_1H_data_found,0,,,"3,4-dehydro-d/L-proline",,,
bmse000083,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000083/bmse000083.str,no_1H_data_found,0,,,sodium fumarate,,,
bmse000084,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000084/bmse000084.str,no_1H_data_found,0,,,gluconic acid,,,
bmse000086,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000086/bmse000086.str,no_1H_data_found,0,,,alpha-d-glucose-1-phosphate,,,
bmse000087,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000087/bmse000087.str,no_1H_data_found,0,,,"alpha-D-Glucose 1,6-bisphosphate",,,
