accession,name,kingdom,super_class,class,sub_class,group
HMDB0000428,3-Hydroxyglutaric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000429,17alpha-Estradiol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Lipids
HMDB0000434,Homoveratric acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes,Aromatics
HMDB0000439,2-Furoylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000440,3-Hydroxyphenylacetic acid,Organic compounds,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids,Aromatics
HMDB0000442,(S)-3-Hydroxybutyric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000444,3-Furoic acid,Organic compounds,Organoheterocyclic compounds,Furans,Furoic acid and derivatives,Heterocycles & nucleotides
HMDB0000446,N-alpha-Acetyl-L-lysine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000448,Adipic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000450,5-Hydroxylysine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000452,L-alpha-Aminobutyric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000453,delta-Hexanolactone,Organic compounds,Organoheterocyclic compounds,Lactones,Delta valerolactones,Heterocycles & nucleotides
HMDB0000455,Allocystathionine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000459,3-Methylcrotonylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000462,Allantoin,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Heterocycles & nucleotides
HMDB0000466,3-Methylindole,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles,Heterocycles & nucleotides
HMDB0000467,Nutriacholic acid,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Lipids
HMDB0000468,Biopterin,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,Heterocycles & nucleotides
HMDB0000469,5-Hydroxymethyluracil,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Heterocycles & nucleotides
HMDB0000473,6-Dimethylaminopurine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0000474,Butanone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0000479,3-Methylhistidine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000482,Caprylic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000484,Vanillic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0000488,"(4E,15Z)-Bilirubin",Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,Bilirubins,Heterocycles & nucleotides
HMDB0000490,Etiocholanolone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Lipids
HMDB0000491,3-Methyl-2-oxovaleric acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,Nitrogenous & organic acids
HMDB0000493,"5alpha-Androstane-3beta,17beta-diol",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Lipids
